'ER  /ɝ/
ADANOS  /ˈædænoʊz/
AKIL'S  /ɑˈkɪɫz/
ALRIK  /ˈɑɫˈɹɪk/
ALRIK'S  /ˈɑɫˈɹɪks/
ANGAR  /ɑˈnɡɝ/
ARAXOS  /ɑˈɹɑˌksiz/
ARCHDEMON  /ˈɑɹtʃˈdimən/
BALTRAM  /ˈbɔɫˈtɹæm/
BALTRAM'S  /ˈbɔɫˈtɹæmz/
BELIAR  /ˈbɛɫɑɹ/
BENGAR  /ˈbɛnɡɑɹ/
BENGAR'S  /ˈbɛnɡɑɹz/
BILGOT  /ˈbɪɫɡoʊt/
BLACK-HOODED  /blˈækhˈʊdɪd/
BLOODFLIES  /ˈbɫədˈfɫaɪz/
BLOODWYN  /ˈbɫədwɪn/
BOSPER  /ˈbɔspɝˈ/
BOSPER'S  /ˈbɔspɝˈz/
BROMOR  /ˈbɹoʊˌmɔɹ/
BULLCO  //
CANTHAR  //
CASH-BOX  /ˈkæʃˌbɑks/
CAVALORN  //
CAVALORN'S  //
CONSTANTINO'S  //
CRESCENT-SHAPED  /ˈkɹɛsəntˈʃeɪpt/
CROSSBOWMAN  /ˈkɹɔsˌboʊmən/
DAMNIT  //
DARON  //
DROP-OUT  /ˈdɹɔpˌaʊt/
DYRIAN  //
EDGOR  //
EHNIM  //
ELVRICH  //
ENGOR  //
ENGROM  //
FAJETH  //
FARIM  //
FELLAN  //
FORTUNO  //
GAROND  //
GESTATH  //
GOLD-DIGGING  /ɡˈə‍ʊlddˈɪɡɪŋ/
GORN'S  //
GRITTA  //
HARAD  //
HELLOOO  /həlˈə‍ʊ/
HIDE-OUT  /hˈa‍ɪda‍ʊt/
HIDING-PLACE  /hˈa‍ɪdɪŋplˈe‍ɪs/
HOSH-PAK  //
HUCKSTERED  //
HUNO  //
IGARAZ  //
INNOS  /ˈɪnˌnoʊz/
IRDORATH  //
JHARKENDAR  //
JORA  //
JORA'S  //
JORGEN  //
KARDIF  //
KHARDIMON  //
KHORINIS  //
LEHMAR  //
LEHMAR'S  //
LOBART  //
LOBART'S  //
MEATBUGS  /ˈmitbəɡz/
MILTEN  //
MILTEN'S  //
MINECRAWLERS  /maɪnˈkɹɔɫɝz/
MISTY-EYED  /ˈmɪstiˈaɪd/
MORGAHARD  //
NEFARIUS  //
NEORAS  //
ONAR  //
ONAR'S  //
ONE-HANDED  /ˈwənˈhændəd/
OPOLOS  //
ORCISH  /ˈɔɹkɪʃ/
ORCS  /ˈɔɹks/
ORLAN'S  //
PARDOS  //
PARLAN  //
PAYBOOK  //
PYROKAR  //
QUARHODRON  //
RENGARU  //
ROSI  //
RUKHAR  //
RUNESTONE  //
SALANDRIL  //
SATURAS  //
SCATTY  //
SEKOB  //
SEKOB'S  //
SENGRATH  //
SENTENZA  //
SENYAN  //
SERPENTES  //
SHADOWBEAST  //
SHIP-SHAPE  //
SHROOM  //
SILVESTRO'S  /siɫˈveɪstɹoʊz/
SNAF  //
SUMMONINGS  //
SWAMPSHARKS  /ˈswɑmpˌʃɑɹks/
SWAMPWEED  /ˈswɑmpˈwid/
SWORDMASTER  /ˈsɔɹdˌmæstɝ/
TELEPORTER  /ˈtɛɫəˈpɔɹtɝ/
TELEPORTERS  /ˈtɛɫəˈpɔɹtɝz/
TENGRON  //
TENGRON'S  //
THORBEN  //
THORBEN'S  //
THORUS  //
TORLOF'S  //
TROKAR  //
TWO-HANDED  /ˈtuˈhændəd/
UDAR  //
ULTHAR  //
UNDEAD  /ˈənˌdɛˈd/
VATRAS  //
WAYY  //
WEEELL  /ˈwɛɛɫ/
WILL-O'-THE-WISP  //
XARDAS  //
