'ER   //
ADANOS   //
AKIL'S   //
ALRIK   //
ALRIK'S   //
ANGAR   //
ARAXOS   //
ARCHDEMON   //
BALTRAM   //
BALTRAM'S   //
BELIAR   //
BENGAR   //
BENGAR'S   //
BILGOT   //
BLACK-HOODED   /blˈækhˈʊdɪd/
BLOODFLIES   //
BLOODWYN   //
BOSPER   //
BOSPER'S   //
BROMOR   //
BULLCO   //
CANTHAR   //
CASH-BOX   //
CAVALORN   //
CAVALORN'S   //
CONSTANTINO'S   //
CRESCENT-SHAPED   //
CROSSBOWMAN   //
DAMNIT   //
DARON   //
DROP-OUT   //
DYRIAN   //
EDGOR   //
EHNIM   //
ELVRICH   //
ENGOR   //
ENGROM   //
FAJETH   //
FARIM   //
FELLAN   //
FORTUNO   //
GAROND   //
GESTATH   //
GOLD-DIGGING   /ɡˈəʊlddˈɪɡɪŋ/
GORN'S   //
GRITTA   //
HARAD   //
HELLOOO   /həlˈəʊ/
HIDE-OUT   /hˈaɪdaʊt/
HIDING-PLACE   /hˈaɪdɪŋplˈeɪs/
HOSH-PAK   //
HUCKSTERED   //
HUNO   //
IGARAZ   //
INNOS   //
IRDORATH   //
JHARKENDAR   //
JORA   //
JORA'S   //
JORGEN   //
KARDIF   //
KHARDIMON   //
KHORINIS   //
LEHMAR   //
LEHMAR'S   //
LOBART   //
LOBART'S   //
MEATBUGS   //
MILTEN   //
MILTEN'S   //
MINECRAWLERS   //
MISTY-EYED   //
MORGAHARD   //
NEFARIUS   //
NEORAS   //
ONAR   //
ONAR'S   //
ONE-HANDED   //
OPOLOS   //
ORCISH   //
ORCS   //
ORLAN'S   //
PARDOS   //
PARLAN   //
PAYBOOK   //
PYROKAR   //
QUARHODRON   //
RENGARU   //
ROSI   //
RUKHAR   //
RUNESTONE   //
SALANDRIL   //
SATURAS   //
SCATTY   //
SEKOB   //
SEKOB'S   //
SENGRATH   //
SENTENZA   //
SENYAN   //
SERPENTES   //
SHADOWBEAST   //
SHIP-SHAPE   //
SHROOM   //
SILVESTRO'S   //
SNAF   //
SUMMONINGS   //
SWAMPSHARKS   //
SWAMPWEED   //
SWORDMASTER   //
TELEPORTER   //
TELEPORTERS   //
TENGRON   //
TENGRON'S   //
THORBEN   //
THORBEN'S   //
THORUS   //
TORLOF'S   //
TROKAR   //
TWO-HANDED   //
UDAR   //
ULTHAR   //
UNDEAD   //
VATRAS   //
WAYY   //
WEEELL   //
WILL-O'-THE-WISP   //
XARDAS   //
'BOUT  /ˈbaʊt/
'CAUSE  /kəz/
'COURSE  /ˈkɔɹs/
'CUSE  /ˈkjuz/
'EM  /əm/
'FRISCO  /ˈfɹɪskoʊ/
'GAIN  /ˈɡɛn/
'KAY  /ˈkeɪ/
'M  /əm/
'N  /ən/
'ROUND  /ˈɹaʊnd/
'S  /ˈɛs/
'TIL  /ˈtɪɫ/
'TIS  /ˈtɪz/
'TWAS  /ˈtwəz/
A  /ˈeɪ/
A.  /ˈeɪ/
A.'S  /ˈeɪz/
A.D.  /ˌeɪˈdi/
A.M.  /ˌeɪˈɛm/
A.S  /ˈeɪz/
A'S  /ˈeɪz/
AAA  /ˌtɹɪpəˈɫeɪ/
AABERG  /ˈɑbɝɡ/
AACHEN  /ˈɑkən/
AACHENER  /ˈɑkənɝ/
AAKER  /ˈɑkɝ/
AALIYAH  /ˌɑˈɫiˌɑ/
AALSETH  /ˈɑɫsɛθ/
AAMODT  /ˈɑmət/
AANCOR  /ˈɑnˌkɔɹ/
AARDEMA  /ɑɹˈdɛmə/
AARDVARK  /ˈɑɹdˌvɑɹk/
AARDVARKS  /ˈɑɹdˌvɑɹks/
AARGH  /ˈɑɹɡ/
AARHUS  /ˌɑˈhus/
AARON  /ˈɛɹən/
AARON'S  /ˈɛɹənz/
AARONS  /ˈɛɹənz/
AARONSON  /ˈɑɹənsən/
AARONSON'S  /ˈɑɹənsənz/
AARTI  /ˈɑɹˌti/
AASE  /ˈɑs/
AASEN  /ˈɑsən/
AB  /ˈæb/
ABA  /ˌeɪˌbiˈeɪ/
ABABA  /ˈɑbəbə/
ABACHA  /ˈæbəkə/
ABACK  /əˈbæk/
ABACO  /ˈæbəˌkoʊ/
ABACUS  /ˈæbəkəs/
ABAD  /əˈbɑd/
ABADAKA  /əˈbædəkə/
ABADI  /əˈbædi/
ABADIE  /əˈbædi/
ABAIR  /əˈbɛɹ/
ABALKIN  /əˈbɑɫkɪn/
ABALONE  /ˌæbəˈɫoʊni/
ABALONES  /ˌæbəˈɫoʊniz/
ABALOS  /ɑˈbɑɫoʊz/
ABANDON  /əˈbændən/
ABANDONED  /əˈbændənd/
ABANDONING  /əˈbændənɪŋ/
ABANDONMENT  /əˈbændənmənt/
ABANDONMENTS  /əˈbændənmənts/
ABANDONS  /əˈbændənz/
ABANTO  /əˈbæntoʊ/
ABARCA  /əˈbɑɹkə/
ABARE  /ɑˈbɑɹi/
ABASCAL  /ˈæbəskəɫ/
ABASH  /əˈbæʃ/
ABASHED  /əˈbæʃt/
ABASIA  /əˈbeɪʒjə/
ABATE  /əˈbeɪt/
ABATED  /əˈbeɪtɪd/
ABATEMENT  /əˈbeɪtmənt/
ABATEMENTS  /əˈbeɪtmənts/
ABATES  /əˈbeɪts/
ABATING  /əˈbeɪtɪŋ/
ABATTOIR  /ˌæbətˈwɑɹ/
ABBA  /ˈæbə/
ABBADO  /əˈbɑdoʊ/
ABBAS  /əˈbɑs/
ABBASI  /ɑˈbɑsi/
ABBATE  /ˈɑbeɪt/
ABBATIELLO  /ɑbɑtiˈɛɫoʊ/
ABBE  /ˈæbi/
ABBENHAUS  /ˈæbənˌhaʊs/
ABBETT  /əˈbɛt/
ABBEVILLE  /ˈæbvɪɫ/
ABBEY  /ˈæbi/
ABBEY'S  /ˈæbiz/
ABBIE  /ˈæbi/
ABBITT  /ˈæbɪt/
ABBOT  /ˈæbət/
ABBOTSTOWN  /ˈæbətˈstaʊn/
ABBOTT  /ˈæbət/
ABBOTT'S  /ˈæbəts/
ABBOTTSTOWN  /ˈæbətˈstaʊn/
ABBOUD  /əˈbaʊd/
ABBREVIATE  /əˈbɹiviˌeɪt/
ABBREVIATED  /əˈbɹiviˌeɪtɪd/
ABBREVIATES  /əˈbɹiviˌeɪts/
ABBREVIATING  /əˈbɹiviˌeɪtɪŋ/
ABBREVIATION  /əˌbɹiviˈeɪʃən/
ABBREVIATIONS  /əˌbɹiviˈeɪʃənz/
ABBRUZZESE  /ɑbɹutˈseɪzi/
ABBS  /ˈæbz/
ABBY  /ˈæbi/
ABC  /ˈeɪˌbiˌsi/
ABC'S  /ˈeɪˌbiˌsiz/
ABCO  /ˈæbkoʊ/
ABCOTEK  /ˈæbkoʊˌtɛk/
ABCS  /ˈeɪˌbiˌsiz/
ABD  /ˌeɪˌbiˈdi/
ABDALLA  /ˌæbˈdæɫə/
ABDALLAH  /ˌæbˈdæɫə/
ABDEL  /ˈæbˌdɛɫ/
ABDELLA  /ˌæbˈdɛɫə/
ABDICATE  /ˈæbdəˌkeɪt/
ABDICATED  /ˈæbdəˌkeɪtɪd/
ABDICATES  /ˈæbdəˌkeɪts/
ABDICATING  /ˈæbdɪˌkeɪtɪŋ/
ABDICATION  /ˌæbdɪˈkeɪʃən/
ABDNOR  /ˈæbdnɝ/
ABDO  /ˈæbdoʊ/
ABDOLLAH  /ˌæbˈdɑɫə/
ABDOMEN  /ˈæbdəmən/
ABDOMINAL  /æbˈdɑmənəɫ/
ABDUCT  /æbˈdəkt/
ABDUCTED  /æbˈdəktɪd/
ABDUCTEE  /æbˌdəkˈti/
ABDUCTEES  /æbˌdəkˈtiz/
ABDUCTING  /æbˈdəktɪŋ/
ABDUCTION  /æbˈdəkʃən/
ABDUCTIONS  /æbˈdəkʃənz/
ABDUCTOR  /æbˈdəktɝ/
ABDUCTORS  /æbˈdəktɝz/
ABDUCTS  /æbˈdəkts/
ABDUL  /æbˈduɫ/
ABDULAZIZ  /æbˌduɫəˈziz/
ABDULLA  /ɑbˈduɫə/
ABDULLAH  /ˌæbˈdəɫə/
ABE  /ˈeɪb/
ABED  /əˈbɛd/
ABEDI  /əˈbɛdi/
ABEE  /əˈbi/
ABEL  /ˈeɪbəɫ/
ABELA  /ɑˈbɛɫə/
ABELARD  /ˈæbɪɫɝd/
ABELE  /əˈbɛɫ/
ABELES  /ˈeɪbəˌɫiz/
ABELL  /ˈeɪbəɫ/
ABELLA  /əˈbɛɫə/
ABELN  /ˈæbɪɫn/
ABELOW  /ˈæbəɫoʊ/
ABELS  /ˈeɪbəɫz/
ABELSON  /ˈæbɪɫsən/
ABEND  /ˈæbɛnd/
ABENDROTH  /ˈæbɪndɹɔθ/
ABER  /ˈeɪbɝ/
ABERCROMBIE  /ˌæbɝˈkɹɑmbi/
ABERDEEN  /ˈæbɝˌdin/
ABERFORD  /ˈeɪbɝfɝd/
ABERG  /ˈæbɝɡ/
ABERLE  /ˈæbɝəɫ/
ABERMIN  /ˈæbɝmɪn/
ABERNATHY  /ˈæbɝˌnæθi/
ABERNETHY  /ˈæbɝˌnɛθi/
ABERRANT  /æˈbɛɹənt/
ABERRATION  /ˌæbɝˈeɪʃən/
ABERRATIONAL  /ˌæbɝˈeɪʃənəɫ/
ABERRATIONS  /ˌæbɝˈeɪʃənz/
ABERT  /ˈæbɝt/
ABET  /əˈbɛt/
ABETTED  /əˈbɛtɪd/
ABETTING  /əˈbɛtɪŋ/
ABEX  /ˈeɪbɛks/
ABEYANCE  /əˈbeɪəns/
ABEYTA  /ɑˈbeɪtə/
ABHOR  /æbˈhɔɹ/
ABHORRED  /əbˈhɔɹd/
ABHORRENCE  /əbˈhɔɹəns/
ABHORRENT  /æbˈhɔɹənt/
ABHORS  /əbˈhɔɹz/
ABIAM  /ˈeɪbiəm/
ABIAM'S  /ˈeɪbiəmz/
ABID  /ˈeɪbɪd/
ABIDE  /əˈbaɪd/
ABIDED  /əˈbaɪdɪd/
ABIDES  /əˈbaɪdz/
ABIDING  /əˈbaɪdɪŋ/
ABIDJAN  /æbɪˈdʒɑn/
ABIE  /ˈæbi/
ABIGAIL  /ˈæbəˌɡeɪɫ/
ABILA  /ɑˈbiɫə/
ABILENE  /ˈæbɪˌɫin/
ABILITIES  /əˈbɪɫəˌtiz/
ABILITY  /əˈbɪɫəˌti/
ABIMAEL  /ˌæbɪˈmeɪɫ/
ABIMAELS  /ˌæbɪˈmeɪɫz/
ABINGDON  /ˈæbɪŋdən/
ABINGTON  /ˈæbɪŋtən/
ABIO  /ˈɑbioʊ/
ABIOLA  /ˌɑbiˈoʊɫə/
ABIOLA'S  /ˌɑbiˈoʊɫəz/
ABIOMED  /eɪˈbiəmɛd/
ABIQUIU  /əˈbɪkju/
ABITIBI  /ˌæbɪˈtibi/
ABITZ  /ˈæbɪts/
ABJECT  /ˈæbdʒɛkt/
ABKHAZIA  /æbˈkæzjə/
ABKHAZIAN  /æbˈkæziən/
ABKHAZIANS  /æbˈkæziənz/
ABLATE  /ˌəˈbɫeɪt/
ABLATION  /ˌəˈbɫeɪʃən/
ABLAZE  /əˈbɫeɪz/
ABLE  /ˈeɪbəɫ/
ABLE-BODIED  /ˈeɪbəɫˈbɑdid/
ABLED  /ˈeɪbəɫd/
ABLER  /ˈeɪbəɫɝ/
ABLES  /ˈeɪbəɫz/
ABLEST  /ˈeɪbəɫst/
ABLOOM  /əˈbɫum/
ABLUTION  /əˈbɫuʃən/
ABLUTIONS  /əˈbɫuʃənz/
ABLY  /ˈeɪbɫi/
ABNEGATION  /ˌæbnɛˈɡeɪʃən/
ABNER  /ˈæbnɝ/
ABNEY  /ˈæbni/
ABNORMAL  /æbˈnɔɹməɫ/
ABNORMALITIES  /ˌæbnɔɹˈmæɫətiz/
ABNORMALITY  /ˌæbnɔɹˈmæɫəti/
ABNORMALLY  /æbˈnɔɹməɫi/
ABO  /ˈɑboʊ/
ABO'S  /ˈɑboʊz/
ABOARD  /əˈbɔɹd/
ABODE  /əˈboʊd/
ABOHALIMA  /æbəhəˈɫimə/
ABOLISH  /əˈbɑɫɪʃ/
ABOLISHED  /əˈbɑɫɪʃt/
ABOLISHES  /əˈbɑɫɪʃɪz/
ABOLISHING  /əˈbɑɫɪʃɪŋ/
ABOLITION  /ˌæbəˈɫɪʃən/
ABOLITIONISM  /ˌæbəˈɫɪʃəˌnɪzəm/
ABOLITIONIST  /ˌæbəˈɫɪʃənəst/
ABOLITIONISTS  /ˌæbəˈɫɪʃənəsts/
ABOMINABLE  /əˈbɑmənəbəɫ/
ABOMINATION  /əˌbɑməˈneɪʃən/
ABOMINATIONS  /əˌbɑməˈneɪʃənz/
ABOOD  /əˈbud/
ABOODI  /əˈbudi/
ABOR  /əˈbɔɹ/
ABORIGINAL  /ˌæbɝˈɪdʒənəɫ/
ABORIGINE  /ˌæbɝˈɪdʒəni/
ABORIGINES  /ˌæbɝˈɪdʒəniz/
ABORN  /əˈbɔɹn/
ABORT  /əˈbɔɹt/
ABORTED  /əˈbɔɹtɪd/
ABORTIFACIENT  /əˌbɔɹtəˈfeɪʃənt/
ABORTIFACIENTS  /əˌbɔɹtəˈfeɪʃənts/
ABORTING  /əˈbɔɹtɪŋ/
ABORTION  /əˈbɔɹʃən/
ABORTIONIST  /əˈbɔɹʃənɪst/
ABORTIONISTS  /əˈbɔɹʃənɪsts/
ABORTIONS  /əˈbɔɹʃənz/
ABORTIVE  /əˈbɔɹtɪv/
ABORTS  /əˈbɔɹts/
ABOTT  /əˈbɑt/
ABOU  /əˈbu/
ABOUD  /ɑˈbud/
ABOUHALIMA  /ˌɑbuhɑˈɫimə/
ABOUHALIMA'S  /ˌɑbuhɑˈɫiməz/
ABOUND  /əˈbaʊnd/
ABOUNDED  /əˈbaʊndɪd/
ABOUNDING  /əˈbaʊndɪŋ/
ABOUNDS  /əˈbaʊndz/
ABOUT  /əˈbaʊt/
ABOUT'S  /əˈbaʊts/
ABOVE  /əˈbəv/
ABOVE'S  /əˈbəvz/
ABOVEBOARD  /əˈbəvˌbɔɹd/
ABPLANALP  /ˈæbpɫənæɫp/
ABRA  /ˈɑbɹə/
ABRACADABRA  /ˌæbɹəkəˈdæbɹə/
ABRADE  /æˈbɹeɪd/
ABRADED  /æˈbɹeɪdɪd/
ABRADES  /æˈbɹeɪdz/
ABRAHAM  /ˈeɪbɹəˌhæm/
ABRAHAMIAN  /ˌæbɹəˈheɪmiən/
ABRAHAMS  /ˈeɪbɹəˌhæmz/
ABRAHAMSEN  /æbɹəˈhæmsən/
ABRAHAMSON  /əˈbɹæhəmsən/
ABRAM  /əˈbɹæm/
ABRAM'S  /ˈeɪbɹəmz/
ABRAMCZYK  /ˈɑbɹəmtʃɪk/
ABRAMO  /ɑˈbɹɑmoʊ/
ABRAMOVITZ  /əˈbɹɑməvɪts/
ABRAMOWICZ  /əˈbɹɑməvɪtʃ/
ABRAMOWITZ  /əˈbɹɑməwɪts/
ABRAMS  /ˈeɪbɹəmz/
ABRAMS'S  /ˈeɪbɹəmzɪz/
ABRAMSON  /ˈeɪbɹəmsən/
ABRASION  /əˈbɹeɪʒən/
ABRASIONS  /əˈbɹeɪʒənz/
ABRASIVE  /əˈbɹeɪsɪv/
ABRASIVES  /əˈbɹeɪsɪvz/
ABRAXA  /əˈbɹæksə/
ABRAXA'S  /əˈbɹæksəz/
ABRAXAS  /əˈbɹæksəz/
ABREAST  /əˈbɹɛst/
ABREGO  /ɑˈbɹɛɡoʊ/
ABREU  /əˈbɹu/
ABRIDGE  /əˈbɹɪdʒ/
ABRIDGED  /əˈbɹɪdʒd/
ABRIDGEMENT  /əˈbɹɪdʒmənt/
ABRIDGES  /əˈbɹɪdʒəz/
ABRIDGING  /əˈbɹɪdʒɪŋ/
ABRIL  /əˈbɹɪɫ/
ABROAD  /əˈbɹɔd/
ABROGATE  /ˈæbɹəˌɡeɪt/
ABROGATED  /ˈæbɹəˌɡeɪtɪd/
ABROGATING  /ˈæbɹəˌɡeɪtɪŋ/
ABROGATION  /ˌæbɹəˈɡeɪʃən/
ABROL  /əˈbɹoʊɫ/
ABRON  /əˈbɹɑn/
ABRUPT  /əˈbɹəpt/
ABRUPTLY  /əˈbɹəptɫi/
ABRUPTNESS  /əˈbɹəptnəs/
ABRUTYN  /ˈeɪbɹutɪn/
ABRUZZESE  /ɑbɹutˈseɪzi/
ABRUZZO  /ɑˈbɹuzoʊ/
ABS  /ˈæbz/
ABSALOM  /ˈæbsəɫəm/
ABSARAKA  /æbˈsɑɹəkə/
ABSCAM  /ˈæbskæm/
ABSCESS  /ˈæbˌsɛs/
ABSCOND  /æbˈskɑnd/
ABSCONDED  /æbˈskɑndɪd/
ABSCONDING  /æbˈskɑndɪŋ/
ABSCONDS  /æbˈskɑndz/
ABSECON  /ˈæbsəkɔn/
ABSENCE  /ˈæbsəns/
ABSENCES  /ˈæbsənsɪz/
ABSENT  /ˈæbsənt/
ABSENTEE  /ˌæbsənˈti/
ABSENTEEISM  /ˌæbsənˈtiɪzəm/
ABSENTEES  /ˌæbsənˈtiz/
ABSENTIA  /æbˈsɛnʃə/
ABSHER  /ˈæbʃɝ/
ABSHIER  /ˈæbʃiɝ/
ABSHIRE  /ˈæbˌʃaɪɹ/
ABSINTHE  /ˈæbsɪnθ/
ABSO  /ˈæbsoʊ/
ABSOLOM  /ˈæbsəɫəm/
ABSOLUT  /ˌæbsəˈɫut/
ABSOLUT'S  /ˌæbsəˈɫuts/
ABSOLUTE  /ˈæbsəˌɫut/
ABSOLUTELY  /ˌæbsəˈɫutɫi/
ABSOLUTENESS  /ˈæbsəˌɫutnəs/
ABSOLUTES  /ˈæbsəˌɫuts/
ABSOLUTION  /ˌæbsəˈɫuʃən/
ABSOLUTISM  /ˈæbsəˌɫuˌtɪzəm/
ABSOLUTIST  /æbsəˈɫutɪst/
ABSOLVE  /æbˈzɑɫv/
ABSOLVED  /æbˈzɑɫvd/
ABSOLVES  /æbˈzɑɫvz/
ABSOLVING  /æbˈzɑɫvɪŋ/
ABSORB  /əbˈzɔɹb/
ABSORBED  /əbˈzɔɹbd/
ABSORBENCY  /əbˈzɔɹbənsi/
ABSORBENT  /əbˈzɔɹbənt/
ABSORBER  /əbˈzɔɹbɝ/
ABSORBERS  /əbˈzɔɹbɝz/
ABSORBING  /əbˈzɔɹbɪŋ/
ABSORBS  /əbˈzɔɹbz/
ABSORPTION  /əbˈsɔɹpʃən/
ABSTAIN  /æbˈsteɪn/
ABSTAINED  /æbˈsteɪnd/
ABSTAINING  /æbˈsteɪnɪŋ/
ABSTENTION  /æbˈstɛntʃən/
ABSTENTIONS  /æbˈstɛntʃənz/
ABSTINENCE  /ˈæbstənəns/
ABSTINENT  /ˈæbstənənt/
ABSTON  /ˈæbstən/
ABSTRACT  /ˈæbˌstɹækt/
ABSTRACTED  /ˈæbˌstɹæktɪd/
ABSTRACTION  /æbˈstɹækʃən/
ABSTRACTIONS  /æbˈstɹækʃənz/
ABSTRACTS  /ˈæbstɹækts/
ABSTRUSE  /əbˈstɹus/
ABSURD  /əbˈsɝd/
ABSURDIST  /əbˈsɝdɪst/
